emp_ID,dept_ID,job_level,gender,ethnicity,education,disability,age_group,years_at_org,salary,fte
1,0,5,M,White,Postgrad,None,55-64,4.9,500,1
2,1,4,M,White,No degree,None,45-54,2.7,495,1
3,1,4,M,White,No degree,None,45-54,5.29,485,1
4,1,4,M,White,No degree,None,45-54,9.84,430,1
5,1,4,M,White,Undergrad,None,45-54,8.7,464,1
6,1,4,M,White,Undergrad,None,45-54,11.35,452,1
7,1,4,M,White,Undergrad,None,45-54,4.91,547,1
8,1,4,F,White,Undergrad,None,35-44,6.85,515,1
9,1,4,M,White,No degree,None,35-44,4.54,386,1
10,2,3,M,White,No degree,None,25-34,5.34,161,1
11,2,3,M,White,No degree,None,25-34,5.56,136,1
12,2,3,M,White,No degree,None,35-44,3.27,133,1
13,2,3,M,Black / African / Caribbean / Black British,Undergrad,None,25-34,5.41,167,1
14,2,3,M,White,No degree,None,45-54,3.65,127,1
15,2,3,M,White,Undergrad,None,35-44,4,43,0.4
16,2,3,M,White,Undergrad,None,35-44,8.79,150,1
17,2,3,F,White,Undergrad,None,25-34,2.5,98,1
18,2,3,M,White,No degree,None,35-44,2.55,90,0.7
19,2,3,M,White,Undergrad,None,35-44,5.22,91,1
20,2,3,M,White,No degree,None,25-34,5.54,152,1
21,2,3,M,White,Undergrad,None,35-44,2.94,146,1
22,2,3,M,White,Undergrad,None,25-34,4.25,109,1
23,3,3,M,White,Undergrad,None,45-54,15.17,83,1
24,3,3,M,White,PhD,None,35-44,7,102,1
25,3,3,M,White,Undergrad,None,55-64,6.59,106,1
26,3,3,M,White,Undergrad,None,35-44,5.43,109,1
27,3,3,M,White,PhD,None,25-34,3.21,40,0.4
28,3,3,M,White,PhD,None,55-64,4.7,95,1
29,3,3,M,White,Undergrad,None,45-54,9.73,100,1
30,3,3,M,White,Undergrad,None,35-44,3.63,82,1
31,3,3,M,White,Undergrad,None,55-64,4.87,111,1
32,3,3,M,White,Postgrad,None,25-34,2.08,105,1
33,3,3,M,White,Undergrad,None,45-54,9.27,110,1
34,3,3,M,White,Postgrad,None,35-44,2.17,110,1
35,3,3,M,White,Undergrad,None,55-64,3.93,109,1
36,3,3,M,White,PhD,None,55-64,10.08,115,1
37,3,3,M,White,Postgrad,None,35-44,2.91,92,1
38,3,3,M,White,Undergrad,None,35-44,4.55,103,1
39,3,3,M,White,Undergrad,None,55-64,8.95,18,0.2
40,4,3,M,White,PhD,None,35-44,2.47,60,1
41,4,3,M,White,Undergrad,None,55-64,13.29,73,1
42,4,3,M,White,Postgrad,None,25-34,5.17,86,1
43,4,3,M,Mixed / Multiple ethnic groups,Undergrad,None,25-34,3.86,50,1
44,4,3,F,White,PhD,None,45-54,11.65,88,1
45,4,3,PN,White,Undergrad,None,55-64,0.96,75,1
46,4,3,F,White,Undergrad,None,45-54,13.77,72,1
47,4,3,M,White,Postgrad,None,45-54,8.65,64,1
48,4,3,M,White,PhD,None,45-54,10.03,74,1
49,4,3,M,White,Postgrad,None,35-44,7.75,62,1
50,4,3,M,White,Undergrad,None,55-64,5.83,64,1
51,4,3,F,White,Undergrad,None,45-54,16.84,91,1
52,4,3,M,White,Undergrad,None,65+,12.8,72,1
53,4,3,M,White,Undergrad,None,35-44,10.7,78,1
54,4,3,F,White,Undergrad,None,45-54,0.29,52,0.7
55,4,3,M,White,Undergrad,None,55-64,17.82,69,1
56,5,3,M,White,PhD,None,25-34,5.42,67,1
57,5,3,M,White,Undergrad,None,35-44,5.13,64,1
58,5,3,M,White,Undergrad,None,25-34,4.43,43,0.5
59,5,3,M,White,Undergrad,None,25-34,3.41,60,1
60,5,3,M,White,Undergrad,None,55-64,1.37,69,1
61,5,3,M,White,Undergrad,None,25-34,1.48,93,1
62,5,3,M,Other ethnic group,Undergrad,None,55-64,6.37,70,1
63,5,3,M,White,Undergrad,None,35-44,1.23,79,1
64,5,3,M,White,Undergrad,None,55-64,16.72,52,0.7
